comment_id,username,text,created_at_utc,like_count
17907881844229917,skiglygin,Filipinos laugh at these hurdles thats happening in their government. Bending over and getting fucked in the ass paying taxes for decades to fuel these corrupt politicians lavish lifestyles seems like a joke to you all?  Theres nothing funny at this point that a normal person would think of but anger and rage.  What a sick fucking CUNT-ry your people have.,2025-09-12 17:00:58+00:00,0
18074841956091418,agl777.7777,"Teka teka pano c MARTIN AT ZALDY?? ibabaon na sa limot yung query ni cong tiangbco, WHO DID THE INSERTIONS?? Puro na lng DPWH? Ano yun nag insert cla martin at zaldy bilang kawang gawa lang??? Huy sbrang kupal na pilipinas",2025-09-11 23:42:46+00:00,0
18057561023568301,jayes_santos,More plz! Go back as far as you can. Put the money back into our purse. Make sure the thieves rot in jail! 🔥,2025-09-11 23:40:19+00:00,0
18051963902530780,bodval,What about the others …??????,2025-08-17 09:17:39+00:00,0
17973149687919528,imgariandoelvin,Full force of law ehh sila yung LAW kaya ang hirap nilang e prosecute kaya I support the calling to change the system and sana magtayo ng Independent body for corruption like the CIPB (Corrupt Practices Investigation Bureau) of Singapore. Then bigyan ng mas malawak na kapangyarihan ang OBUDSMAN kasi napaka crucial ng role nila sa constitution and yet parang hindi natin ramdam na nandiyan sila.,2025-08-17 09:14:48+00:00,0
17971301204776345,iamjrsp52148,Inday Sarah left the group 😂😂😂😂,2025-08-17 11:27:27+00:00,0
17982103085851344,johnoycruz,"Exciteing how Marcoleta will protect Go, Escudero, Villanieva from flood control projects controversy. ALL leads bacl to Du30. 👏👏👏",2025-08-17 09:47:53+00:00,0
17940724349922263,kirstensclothing,"Si joy and magalon balimbing din Yan, Kay vico lang ako naniniwala jan",2025-08-17 13:32:05+00:00,0
17890724595314924,akosiantoniomahalkita,Mayor Vico and Magalong are the best 👏,2025-08-17 12:44:03+00:00,0
18087480217692886,rdclav,Maraming MAGNANAKAW sa Congress at sila2 mismo ang nagmamay ari ng mga construction company at sobra2 ang kickback ng mga kawatan.,2025-08-17 12:03:58+00:00,0
18078476044756621,jennyblake2025,Ang congresso lang ang kontra sa ganyan dahil cgurado maraming makukulong. Mga crocodile,2025-08-17 08:49:47+00:00,0
18072451919289681,scotty22143,Tanggalin sa group sa Magalong. Ilang linggo na yang nagpupuputak pero wala namang pinapangalanan. BFF yan nina Duterte at Bantag,2025-08-17 09:00:26+00:00,0
18066699881233915,foxglove_wisteria,Malabong mahabol sanggang-dikit sila ng labing-siyam at ng santo ng mga DDS,2025-08-17 09:29:42+00:00,0
18289193320255449,james.reyes.5209,The rests should follow his lead (if they trully wanna serve the country)... Philippine government is so corrupt. Everyone has its own agenda for their own sake. Hope Mayor Vico will run for the highest position. Hopefully he will change the government for the greater good 🙏,2025-08-17 18:13:39+00:00,0
18048174032557642,thediannefrances,🥰🥰🥰,2025-08-19 04:35:57+00:00,0
18021556820772941,kizhia14344,halatang tinitira ang mga ayaw s administrasyon sila namn ang grabeng corruption,2025-08-18 23:48:44+00:00,0
17984052005714715,ken.nuffsaid,@bongbongmarcos,2025-08-18 11:05:17+00:00,0
18073904684048992,cheliling,About time!!!,2025-08-18 08:18:10+00:00,0
17859564735416493,whyhatemariel,Wait natin Makati 😅,2025-08-18 07:36:43+00:00,0
18098244775538061,msmayflowerss,Go!,2025-08-18 06:22:46+00:00,0
18025684367519129,ariannepiangco,I can’t wait to see the corrupt officials to be prosecuted. Umpisahan na please!!!!,2025-08-18 05:48:34+00:00,0
18134738083439634,rpcboss,"Not only Mayors, kaming mamamayan ay ""FULL TRANSPARENCY"" ang kaylangan ipakita sa pagbabadyet at pag-gastos ng aming pera!",2025-08-18 04:13:53+00:00,0
18042008399345931,burneraccount2045,Sana imbestigahan din nila yung mga mayors na contractors. 😂,2025-08-18 00:11:10+00:00,0
18171224152346730,burneraccount2045,"Let us support the move of these mayors, mas ok na magtiwala sa mga ito imbes sa mga proven ng mga magnanakaw. 😂",2025-08-18 00:10:47+00:00,0
18054510656388109,willdg93,Bat hindi kasali ang mayor ng Davao jan?,2025-08-17 23:01:18+00:00,0
17897195154260642,jeremyadamhain,Believe it nothing will happen to this scandal. No a single corrupt politician or government agency will be accountable. We just watch all tax payers money drained down to their pockets. Should the president want a  to be remember to be at least one has done good for the country is crack this down and put them in jail. Start a massive corruption campaign he then will be put into the history of turning to a positive vote.,2025-08-17 21:18:22+00:00,0
18125292538475279,monikaloveabiera,"Yes yes yes, and death penalty too",2025-08-17 20:14:26+00:00,0
18116092819508103,villasenornimfa,I hope and pray that Mayor Vico would be the next president 2028.,2025-08-17 19:26:29+00:00,0
17910770226197000,antonsd,👏👏👏,2025-08-17 18:51:23+00:00,0
18065027753214040,happy.pants,may more public official join this roster,2025-08-17 18:11:34+00:00,0
18036472514456576,emilianovinuya,"Dapat naman, kung hindi, puro nakaw nalang ang gagawin. Makakapal at walang kahihiyan ang politikong Pilipino.",2025-08-17 17:39:39+00:00,0
18093418042646738,marginomoto,PADAYUN LNG!,2025-08-17 16:06:04+00:00,0
17940999225022278,personae_ignorantae,Philippines is healing step by step🩷,2025-08-17 15:08:45+00:00,0
17866460253434049,suetosrose,Wala akong tiwala kay Magalong. Pinagtatangol nga niya c Duterte,2025-08-17 13:48:51+00:00,0
18036783623459298,naldasuncion,"Rotten Chiz, Villanueva... Lagot kayo!",2025-08-17 13:38:00+00:00,0
17920724457015601,xerocl,Dapat si marsi andian. Jusko si joy laging dagat ang qc,2025-08-17 12:40:46+00:00,0
17907378420198990,marieuia,❤️❤️❤️,2025-08-17 12:12:03+00:00,0
18066084449230974,itsmeannplata,"Proverbs 11:3, ""The integrity of the upright guides them, but the perversity of the faithless destroys them,"" emphasizing the destructive nature of corruption on an individual's character.",2025-08-17 10:43:23+00:00,0
18051121580445567,pugeot6,Tama na yun mga walang kwentang confidential funds!!!,2025-08-17 10:25:05+00:00,0
17968937990939813,imedgie_heisthejuan,Mayor Magalong hinog na siya para maging Presidente ng Pilipinas! Vico Sotto medyo weak pa. Pero darating din ang araw magiging hinog na siya. Kung gusto niyang maging Vice president ni Magalong!,2025-08-17 10:07:28+00:00,0
18076979365953931,christophertimpug,Nalimutan na mga missing sabungeros...,2025-08-17 10:06:16+00:00,0
