Hashtags,Comments,Source
,Napanood ko yan kagabi. Sobrang gahaman. Lahat unfinished projects,Threads
,Kudos kay Ms. Jessica hindi niya binitawan ang issue. Sana madami mabuksan ang isip. At sana ren hanggang walang mananagot hindi bitawan ng KMJS.,Threads
,Wtf. Hindi lang nakakapanlumo. Nakakagalit. Dapat magalit hindi lang manlumo. Dapat may gawin.,Threads
,Please feature Samar!! Jusko ang highway dun hindi na naayos,Threads
,Yung ospital na kada campaign period binibida na malapit na.,Threads
,Tapos gustong maging state witness,Threads
,Grabeng poot at galit habang nanonood ako na halos isipin kong hubaran silang parehas sa publiko at lahat ng Pilipino ay batuhin sila malalaking bato tulad sa bibliya,Threads
,Grabe kayu Discaya ng kunsensya nyu yan,Threads
,Our govt hospital are in dire need of equipment and workforce. Ang dami sanang natulungan ng pondo na yan. Mga walang pakialam. Basta makapagnakaw lang. Wala talagang mga konsensiya.,Threads
,Pag hindi pinabitay ni BBM ang mag-asawang Discaya eh wala talaga syang binatbat na presidente.,Threads
,Garapalan talaga ang pagnanakaw at pangloloko ng mga nakaupo sa taong bayan. Nakakagalit!,Threads
,"Ang sinungaling at ang magnanakaw ay kapatid ng kadiliman at kasamaan!

Floods were getting everywhere amid climate crisis, not just the Philippines but the whole world itself. We Filipinos believe in our minds and our intelligence that this 51 billion budget for Davao City, Davao del Sur's flood control infrastructure was stolen and snatched by the Dutertes used for political gains, personal agendas and vicious Duterteism ideology that is anti-Filipino, anti-humanity and anti-democratic.",Threads
,All of its funds for Davao are now gone like a wasted money. Ghost projects regarding 51 billion nakaw funds is like a ghost employees of the Davao LGU in which the Dutertes ruled the area because all of the Duterte's ghost employees are getting involved in the illegal drug activities. A mess is also a mess which cannot be fixed or to resolve. Ikulong na yan ang mga kurakot!,Threads
,the government is so draining honestly.,Threads
,"Require strengthening of existing steel sheetpiles and embankment. Provide additional steel sheet piles FS thickness 12.7 mm, length 6 meters, parallel with existing steel sheet piles. Reinforced concrete beam on top. Additional of stone boulders 1.5m wide x 1 m thick x length against scouring, to be stable.",Threads
,...naahhhhhh - kasuhan muna ung mga gumawa 'pre,Threads
,Put them all in jail and seize their assets,Threads
,2.6B 😂😂 yun point 6 nagamit sa project flood control kunu... Yun 2B nabulsa ng pulpolitiko,Threads
,..okay na tayo sa step 1 (proven that indeed the infra is done not in accordance with specs) proceed na tayo sa step 2.....,Threads
,"At this point, they should tear down DPWH and build it from the ground. Suspend and refund current projects. Allocate funds to tax return.",Threads
,"lol, as if this will solve the entire, neverending corruption sa Pinas. For photo opt lang.",Threads
